STATION,NAME,DATE,AWND,PRCP,SNOW,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/29/08,10.51,0,0,44,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/30/08,8.05,0.03,0,42,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/31/08,11.86,0.7,0,60,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/1/08,13.87,0,0,58,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/2/08,6.71,0,0,50,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/3/08,9.17,0.19,0,53,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/4/08,8.95,0.01,0,54,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/5/08,8.28,0,0,63,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/6/08,10.51,0,0,64,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/7/08,11.63,0.01,0,53,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/8/08,8.5,0.61,0,45,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/9/08,11.18,0,0,52,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/10/08,14.32,0.84,0,53,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/11/08,14.99,0.03,0,64,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/12/08,11.41,0.22,0,42,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/13/08,14.32,0.04,0,42,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/14/08,6.93,0,0,50,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/15/08,13.87,0,0,59,31
